Product ID ,Title ,Description  ,Vendor ,Brands ,Product Type ,Category ,Tags ,SEO Title ,SEO Description ,Product Images,Option1 Name ,Option1 Value ,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU ,Variant Barcode ,Variant Weight ,Variant Weight Unit  ,Variant Price ,Variant Compare At Price  ,Variant Bin Number,Variant Quantity ,Handle ,Size Chart,Collection,Short Description ,Commission Percentage,Attribute_Air Conditioner Type ,Attribute_Washing Machine Type,Attribute_Washing Machine Capacity,Attribute_Product Type,Attribute_Display Size,Attribute_Capacity,Attribute_Warranty  ,Attribute_Air Conditioner Capacity ,Attribute_Refrigerator Type,Attribute_Microwave Type,Attribute_INV/NON-INV,Attribute_Processor,Attribute_Water Dispenser Type,Attribute_LED Type,Attribute_Geyser Type,Attribute_Geyser Capacity,Attribute_Watts,Attribute_Volt,Attribute_Generation,Attribute_Fan Type,Attribute_Battery,Attribute_Core,Attribute_Capacity,Attribute_Thickness,Attribute_BNPL,Attribute_Fragrance Type,Attribute_Lasting,Attribute_Sillage / Projection,Attribute_Season,Attribute_UPS Inverter Type,Attribute_Generator Types,Attribute_Watch Sizes,Attribute_Watch Display Type,Attribute_Watch Band,Attribute_Watch Sensor Feature,Attribute_SKin Type,Attribute_Air Cooler Category
,Gree AC 18AITH24W-T3 1.5 Ton Airy Pro T3 Inverter AC,"The Gree 18AITH24W-T3 is a high-end, 1.5-ton energy-efficient heat-and-cool inverter split AC. Powered by a T3 compressor and R32 refrigerant, it provides stable cooling even in extreme heat up to 68°C",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"AI_Powered_AC,Smart_AC,WiFi_Enabled,Voice_Control, G_AI_Tech",Gree 1.5 Ton Airy Pro Inverter AC (18AITH24W-T3),Gree 1.5 Ton Airy Pro Inverter AC (18AITH24W-T3),https://electromart.com.pk/wp-content/uploads/2026/02/Gree-AC-18AITH24W-T3.webp,Color,White,,,,,GREE-18AITH24W-AIRY-PRO-T3-INVERTER-AC,GREE-18AITH24W-AIRY-PRO-T3-INVERTER-AC,65,kg,251739,256739,,100,gree-18aith24w-airy-pro-t3-inverter-ac,,,"A premium 1.5-ton smart inverter heat-and-cool AC built for extreme heat, featuring top-tier energy efficiency (R32, AI-optimized) and UV air sterilization",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 1.5 Ton T3 Inverter Ac 18AITH24S,"The Gree Airy Pro 1.5-Ton (18AITH24S-T3) is a premium, AI-driven heat-and-cool inverter AC built for extreme heat. It features a heavy-duty T3 compressor that cools efficiently up to 68°C, an energy-saving Ampere Lock, UV-C air sterilization, and built-in Wi-Fi.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"T3Compressor,HeavyDutyAC,TropicalInverter,68DegreeCooling",Gree 18AITH24S-T3 Airy Pro 1.5 Ton Heat & Cool Inverter,Gree 18AITH24S-T3 Airy Pro 1.5 Ton Heat & Cool Inverter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShOkVxRAQ-lOaO7zuPRXP1Ofq7XqameRrwa0O3O9PWg5oIIif9c6scVUEy&s=10,Color,Silver,,,,,GREE-1.5TON-T3-INVERTER-AC-18AITH24S,GREE-1.5TON-T3-INVERTER-AC-18AITH24S,65,kg,251739,256739,,100,gree-1.5ton-t3-inverter-ac-18aith24s,,,A 1.5-ton smart inverter AC with an ultra-powerful T3 compressor made to handle extreme heat while saving power via AI and manual amp control.,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree AC 18ZITH1W-T3 Ultra 1.5 Ton Zeno T3 Inverter Split AC,"Gree 1.5-Ton (18,000 BTU) Split Air Conditioner. Equipped with a heavy-duty T3 compressor designed to deliver powerful cooling even in extreme desert heat up to 52°C.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"T3Compressor,HighAmbientCooling,GreeT3,TropicalCompressor",Gree 1.5 Ton T3 Inverter Split Air Conditioner,Gree 1.5 Ton T3 Inverter Split Air Conditioner,https://electromart.com.pk/wp-content/uploads/2026/03/IMG_3030.png,Color,White,,,,,GREE-18ZITH1W-T3-INVERTER-SPLIT-AC,GREE-18ZITH1W-T3-INVERTER-SPLIT-AC,65,kg,185435,190435,,100,gree-18zith1w-t3-inverter-split-ac,,,1.5-Ton Gree Split AC built for extreme heat (up to 52°C).,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 1.5 Ton DC Inverter A/C Only Cool – 18PITH-10W,"The Gree 18PIT10W is a 1.5 Ton (18,000 BTU) Cool-Only Inverter Split AC from the Pular Series. It features an energy-saving G-10 inverter, low-voltage startup (150V), 4D airflow, and a Cold Plasma air purifier.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Energy saving inverter AC, Low voltage startup AC,  Gree I-Feel AC",Gree 18PIT10W 1.5 Ton Inverter AC,Gree 18PIT10W 1.5 Ton Inverter AC,https://www.surmawala.pk/cdn/shop/files/12pith-10w.png?v=1754729578,Color,White,,,,,GREE-1.5TON-DC-INVERTER– 18PITH-10W,GREE-1.5TON-DC-INVERTER– 18PITH-10W,65,kg,159346,164346,,100,gree-1.5ton-dc-inverter– 18pith-10w,,,The Gree 18PITH-10W is a 1.5 Ton Cool-Only DC Inverter Split AC featuring energy-saving G-10 technology and intelligent 4D airflow.,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree Inverter AC| 1.5 Ton | 18PITH 11S/11W/14S ,"The Gree Pular 1.5-Ton Inverter AC (18PITH) is a high-efficiency, heat-and-cool split unit designed for extreme weather.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783," Gree Pular 1.5 Ton Inverter, Gree GS-18PITH11W, Gree GS-18PITH14S",Gree 1.5 Ton Inverter AC GS-18PITH 11W/14S/11G,Gree 1.5 Ton Inverter AC GS-18PITH 11W/14S/11G,,Color,,,,,,GREE-INVERTER-AC-1.5TON-18PITH-11S/11W/14S,GREE-INVERTER-AC-1.5TON-18PITH-11S/11W/14S,65,kg,163696,168696,,100,gree-inverter-ac-1.5ton-18pith-11s/11w/14s,,,The Gree Pular 1.5-Ton Inverter AC (GS-18PITH) is a high-efficiency heat-and-cool split unit featuring G-10 energy savings and 3D airflow.,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 1.5 Ton Inverter Split AC GS-18PITH14,"The Gree Pular 1.5-Ton Inverter AC (GS-18PITH14S) is a high-performance, dual-season split system designed for medium-to-large spaces (150–250 sq ft). Featuring G-10 inverter technology and a matte silver finish, it delivers stable operation even during voltage drops as low as 150V.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Gree silver heat and cool AC,Gree 4-way airflow inverter 1.5 ton",Gree 1.5 Ton Pular Inverter AC 18PITH14S,Gree 1.5 Ton Pular Inverter AC 18PITH14S,https://www.aysonline.pk/wp-content/uploads/2025/05/GREE-SPILT-AC-GS-18PITH14S-TURBO-600x600.png,Color,Silver,,,,,GREE-1.5-TON-INVERTER-SPLIT-AC-18PITH14,GREE-1.5-TON-INVERTER-SPLIT-AC-18PITH14,65,kg,164783,169783,,100,gree-1.5-ton-inverter-split-ac-18pith14,,,"The Gree Pular 1.5-Ton Inverter AC (GS-18PITH14S) is a premium, energy-saving ""Heat & Cool"" split system that lowers electricity bills by up to 60% while providing instant comfort.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 1.5 Ton GS-18 PITH11G Grey Pular Series Inverter ,"The Gree GS-18PITH11G is a 1.5-ton split inverter air conditioner from the Pular series, featuring energy-saving G-10 inverter technology, a hidden LED display, and an elegant matte finish.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"G10Inverter,SplitAC,MatteFinish,EcoFriendly",Gree 1.5 Ton Pular Inverter AC 18PITH11G,Gree 1.5 Ton Pular Inverter AC 18PITH11G,https://electromart.com.pk/wp-content/uploads/2023/01/46f87084-7f3d-4227-8550-576a3a0d6ee7.jpeg,Color,Grey,,,,,GREE-1.5TON-18PITH11G-GREY-PULAR-INVERTER,GREE-1.5TON-18PITH11G-GREY-PULAR-INVERTER,65,kg,164783,169783,,100,gree-1.5ton-18pith11g-grey-pular-inverter,,,A 1.5-ton energy-saving inverter split AC with a matte finish.,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 18PITH17W-T3 Pular 1.5 Ton Inverter AC,"The Gree Pular T3 Inverter (15W/17W) is a premium, highly energy-efficient 1.5-ton split air conditioner designed for extreme climates. Powered by a heavy-duty T3 tropical compressor and eco-friendly R32 gas, it provides powerful cooling even at ambient temperatures up to 52°C",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Energy saving 1.5 ton AC silverGree,Inverter AC,T3 Compressor",Gree Pular 18 PITH 15W/17W T3 Inverter AC,Gree Pular 18 PITH 15W/17W T3 Inverter AC,https://subhanelectronics.pk/wp-content/uploads/2026/03/Untitled-design-32.png,Color,White,,,,,GREE 18PITH17W-T3 PULAR 1.5 TON INVERTER AC,GREE 18PITH17W-T3 PULAR 1.5 TON INVERTER AC,65,kg,174565,179565,,100,gree-18pith17w-t3-pular-1.5ton-inverter-ac,,,"A smart, ultra-efficient 1.5-ton Heat & Cool AC built for extreme summer heat, featuring up to 60% electricity savings and built-in Wi-Fi control.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree AC 18PITH15G-T3 1.5 Ton Pular T3 Inverter AC,"The Gree 1.5-Ton Pular T3 Inverter (GS-18PITH15G) is a heavy-duty, energy-saving AC built for extreme heat (up to 50°C+). It features a tropical T3 compressor, smart Wi-Fi control, R32 eco-friendly gas, and provides both heating and cooling while saving up to 60% on electricity.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Gree AC,Gree Inverter AC,Gree Pular Series,Gree 1.5 Ton AC",Gree 1.5 Ton T3 Inverter AC 18PITH15G,Gree 1.5 Ton T3 Inverter AC 18PITH15G,https://electromart.com.pk/wp-content/uploads/2026/04/23dd2708-f30a-4f2a-aae8-82904679975f.jpeg,Color,Grey,,,,,GREE-18PITH15G-1.5TON-T3-INVERTER-AC,GREE-18PITH15G-1.5TON-T3-INVERTER-AC,65,kg,176739,181739,,100,gree-18pith15g-1.5ton-t3-inverter-ac,,,"A powerful, smart 1.5-ton inverter AC engineered to deliver efficient heating and cooling even in extreme 50°C summer heat.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,GREE Pular T3 1.5 Ton Inverter AC (GS-18PITC12W-T3),"A highly efficient 1.5-ton inverter AC made for blistering hot climates, featuring power-saving limits and Wi-Fi control.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"WiFiAC,SmartAC,PowerGear,SelfCleaningAC,AmperageControl",Gree Pular 1.5 Ton T3 Inverter AC (18PITC12W-T3),Gree Pular 1.5 Ton T3 Inverter AC (18PITC12W-T3),"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAOEA4QMBIgACEQEDEQH/xAAbAAEAAwEBAQEAAAAAAAAAAAAAAQMFBAIGB//EAD0QAQABAQQHAwkGBQUAAAAAAAABAgMEERITFBZSU5LRBSExIkFhcoGRk7HBIzIzUWKhBkJxc+EVY6LS8f/EABQBAQAAAAAAAAAAAAAAAAAAAAD/xAAUEQEAAAAAAAAAAAAAAAAAAAAA/9oADAMBAAIRAxEAPwD9xAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABTbXiysacbSuI+YLhy1X2wppzaTGPREzPugovthVRjFU+2mYn3T3g6hRrdhxDW7DiQC8Ua3YcSDW7DiAvFGt2HENZsOJ8wXijW7DiQa3YcQF459csN5Ot2HEBeKNbsOIa3YcQF4o1ux3jW7HeBeKNbsd41uw4gLxRrdhxFX+o3fPkzV4/26sPfhgDsHNrlhminP4+ju971rdhxAXijW7DiI1yw3wdApot7Kr7tUf0XAAAOK+fhU+v8AWXa4L792j15+oLKrWmzss1p4d0eef2V0Xumq30VNnXHj5U90Yx5sPH8/c91/hV+TjOWcI7u+cO5x2EV69NWg0eMzMzVGM4YT3444R4x3R/4GjiYoATiYoATiYoATiYoATiYoATiYoATiYoATiYoATiIATJigBOKYl5AV9ofge2Pm7HD2h+B7YdwAADgv/wB2z9efm73D2hHdR60g9UynMrplOILMxmV4mIPeZOZXiYgszGZXiYgszGZXiYgszGZXiYgszGZXiYgszGZXiYgszGZXiYgszGZXiYgszGKvFOYHvMZnjEpnygRf5+wj1o+buZ1/nyaP7lPzhogAAOHtGfJo9aXc4O0/u0/1+gK4qMyiKnrOC3MZlWczgtzGZVnNIC3MZlWkNIC3MZlWkNIC3MZnNeLzTd7C0taqapizpmqYopmqZiIxwiI8ZcVl27dLSys6qqbWibTCMkxEzEzMxEYxMxPfTPhM4Yd+ANbMZmfdu1LC9VUU2Wec2OEzGEd3j4+nu/w684LcxmVZ0ZwXZjMpzmcF2YzKc5nBdmMynOZwXZnqirynPneqK/KgHu+z+BT+dtRH/KGox71Oa3utP+9RPunH6NgAABwdpz5HpjD6u9ifxL9nYRaU91UeePHAFOczsW8Wv2EZbSuPKp8LSqPPHpWaSner5p6g1s5nZWl/VVzT1NLTvV809QauczsvS071XNPVE2lO9VzT1BqZzOy9JTvVc/8Ak0tO9VzT1BqZzOy9LTvVfEnqaWneq+JPUGrpEza/qZMWv6qviT1NLTvVfEnqDW0v6kaRlaWneq+JPU0tO9XzT1BqzaGkZekp3q/iT1NJTvVfEnqDT0hpGXpKd6eaeppKeJVzT1BqaQ0jL0lPEq5p6mkp4lfNPUGppE52VpKeJXzT1M9O9VzT1Bq53uzr8r2sfSU70809Sm0y2tf2lfmmPtJ/KPSDaqqzdpXKn9cz7qZn6Nx8d2VNVv8AxZY0VYzFjc67SZmccJmqmI/aZfYgAAOPtG4WXaFhoraqumn86JiJ/eJdgDBq/he51U5dPevN/NT5vY97M3Pj3rnp6NsBibM3Pj3rnp6GzNz49656ejbAYmzNz49656ehszc+Peueno2wGJszc+PeuenobM3Pj3rnp6NsBibM3Pj3rnp6GzNz49656ejbAYmzVz4965qehs1c+Peuano2wGJszc+PeuenobM3Pj3nmp6NsBibM3Pj3rnp6GzNz49656ejbAYmzNz4955qehszc+Peueno2wGJszc+PeuenobM3Pj3rnp6NsBibM3Pj3rnp6GzNz49656ejbAYezNz4955qf8AqnZu68e8+b+anzextgMy4dj3e43y1vVlVaVWtrRFE55jCIice7CI/NpgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD//Z",Color,White,,,,,GREE-PULAR-1.5-TON-INVERTER-AC-(18PITC12W-T3),GREE-PULAR-1.5-TON-INVERTER-AC-(18PITC12W-T3),65,kg,171304,176304,,100,gree-pular-1.5-ton-inverter-ac-(18pitc12w-t3),,,1.5-ton inverter AC; extreme-heat tropical compressor; cool only.,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree GS-24AITH21W-T3/21B-T3 2.0 Ton Inverter Split AC,"Designed to tackle severe summer heat, the Gree 24AITH21W/21B T3 Airy Plus is a premium 2.0 Ton DC Inverter Air Conditioner built to thrive in harsh tropical climates. Powered by an advanced G-Boost T3 compressor,",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,Gree 2.0 Ton Airy Plus T3 Inverter AC (24AITH21W/24AITH21B),"Wi-Fi Inverter AC, T3 Compressor AC, G-Boost Inverter","Wi-Fi Inverter AC, T3 Compressor AC, G-Boost Inverter",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_M2863yjDrQ7rDsDbGUvLL1DL3dbzj-tqbelL2xApM91uJTgXCm1XoAU&s=10,Color,White,,,,,GREE-24AITH21W-T3/21B-T3-INVERTER-SPLIT-AC,GREE-24AITH21W-T3/21B-T3-INVERTER-SPLIT-AC,65,kg,165879,170879,,100,gree-24aith21w-t3/21b-t3-inverter-split-ac,,,Experience ultimate cooling with the Gree Airy Plus 2.0 Ton T3 Inverter AC (24AITH21W/B). Engineered with a powerful G-Boost compressor,,Split,,,,,,10 Year,2.0 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,GREE Split AC 2 TON (Inverter) Fairy Series,"The Gree GS-24FITH6S/6C Fairy Series is a premium 2.0 Ton DC Inverter Air Conditioner that combines high-end European compliance with an elegant, curved aesthetic. Powered by Gree’s signature G10 inverter technology, this Heat & Cool unit ensures rapid temperature regulation",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Gree 2 Ton AC, Gree Fairy Inverter,  Gree Fairy Econo, 24000 BTU AC,",Gree 2.0 Ton Fairy Inverter Split AC (24FITH6S / 24FITH6C),Gree 2.0 Ton Fairy Inverter Split AC (24FITH6S / 24FITH6C),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlyLoDGoo-JNuZMjSrP9liE9wEFzR6in4LMTnZ5mUTJuavSjZE1WJzaKba&s=10,Color,Black,,,,,GREE-SPLIT-AC-2TON--INVERTER-FAIRY-SERIES,GREE-SPLIT-AC-2TON-INVERTER-FAIRY-SERIES,65,kg,263696,268696,,100,gree-split-ac-2ton-inverter-fairy-series,,,Stay comfortable year-round with the Gree Fairy Series 2.0 Ton Inverter Split AC (24FITH6S/C). Featuring advanced G10 inverter technology,,Split,,,,,,!0 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 24PIth11S Pular Series 2.0 ton Inverter AC ,"The Gree GS-24PITH11S Pular Series is a highly efficient 2.0 Ton DC Inverter Air Conditioner designed for modern living spaces. This premium Heat & Cool model integrates an interactive AI system that auto-adjusts cooling based on your room's thermal load, delivering premium comfort with massive power savings.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Gree Pular AI,  Wi-Fi Inverter AC, Gree Heat and Cool, AI Smart AC",Gree 2.0 Ton Pular Inverter Split AC (24PITH11S),Gree 2.0 Ton Pular Inverter Split AC (24PITH11S),https://subhanelectronics.pk/wp-content/uploads/2024/06/18pith11s.webp,Color,White,,,,,GREE-24PITH11S-PULAR-SERIES-INVERTER-AC,GREE-24PITH11S-PULAR-SERIES-INVERTER-AC,65,kg,236522,241522,,100,gree-24pith11s-pular-series-inverter-ac,,,"Experience intelligent climate control with the Gree Pular Series 2.0 Ton Inverter AC (24PITH11S). Equipped with Real-Time AI technology,",,Split,,,,,,!0 Year,2 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 2 Ton Inverter Air Conditioner 24PITH14S Turbo,"The Gree GS-24PITH14S Pular Series is a top-tier 2.0 Ton DC Inverter Air Conditioner engineered to balance high performance with elite energy efficiency. As an updated model in the Pular lineup,",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Gree Pular AI, 24000 BTU AC, Wi-Fi Inverter AC, AI Smart AC",Gree 2.0 Ton Pular Inverter Split AC (24PITH14S),Gree 2.0 Ton Pular Inverter Split AC (24PITH14S),https://selectronics.com.pk/wp-content/uploads/2023/01/GS-12PITH2-Gree-Pular-Series-AC-price-in-Pakistan.jpg,Color,White,,,,,GREE-2TON-INVERTER-AC-24PITH14S-TURBO,GREE-2TON-INVERTER-AC-24PITH14S-TURBO,65,kg,236522,241522,,100,gree-2ton-inverter-ac-24pith14s-turbo,,,"Upgrade to smart, eco-friendly comfort with the Gree Pular Series 2.0 Ton Inverter AC (24PITH14S). ",,Split,,,,,,!0 Year,2.0 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree AC 24PITH15W-T3 2 Ton Pular T3 Inverter Split AC,"The Gree GS-24PITH15W Pular Series is a heavy-duty 2.0 Ton DC Inverter Air Conditioner purpose-built to withstand severe summer climates. The defining highlight of this model is its upgraded T3 Tropical Compressor, which ensures uninterrupted, high-ambient cooling performance even under blistering outdoor heat without tripping.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Gree 2 Ton AC, Gree Pular T3 Inverter,  Gree T3 Compressor, 24000 BTU AC",Gree 2.0 Ton Pular T3 Inverter Split AC (24PITH15W),Gree 2.0 Ton Pular T3 Inverter Split AC (24PITH15W),https://electromart.com.pk/wp-content/uploads/2026/03/b29bab31-3053-41ea-82d8-0c475afc16b9.jpeg,Color,White,,,,,GREE-24PITH15W-T3-2TON-T3-INVERTER-SPLIT-AC,GREE-24PITH15W-T3-2TON-T3-INVERTER-SPLIT-AC,65,kg,241957,246957,,100,gree-24pith15w-t3-2ton-t3-inverter-split-ac,,,"Conquer intense tropical heat with the Gree Pular T3 Inverter AC 2.0 Ton (24PITH15W). Outfitted with an industrial-grade T3 tropical compressor, smart Wi-Fi",,Split,,,,,,!0 Year,2.0 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 24PITC12W Pular Series,The Gree GS-24PITC12W Pular Series is a powerful 2.0 Ton Fixed Speed (Non-Inverter) Air Conditioner engineered specifically for areas facing severe tropical summers.Equipped with an industrial-strength T3 Tropical Compressor,Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Gree Non-Inverter AC, Gree Cooling Only AC, Tropical Fixed Speed AC",Gree 2.0 Ton Pular T3 Fixed Speed Split AC (24PITC12W),Gree 2.0 Ton Pular T3 Fixed Speed Split AC (24PITC12W),https://static.tossdown.com/images/e897acb6-be46-4500-86d4-27f40d019efe.webp,Color,White,,,,,GREE-24PITC12W-PULAR-SERIES,GREE-24PITC12W-PULAR-SERIES,65,kg,238696,243696,,100,gree-24pitc12w-pular-series,,,Beat extreme summer heat with the heavy-duty Gree Pular T3 Fixed Speed AC 2.0 Ton (24PITC12W).,,Split,,,,,,!0 Year,2.0 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Haier 12CF 1 Ton Non-Inverter Air Conditioner,"The Haier 12 CF 1-Ton Inverter Air Conditioner is engineered to deliver powerful, instantaneous cooling while keeping your electricity bills to a minimum. Perfectly suited for bedrooms and small living spaces, it boasts advanced features like one-touch Self-Clean technology for germ-free airflow",Electronics World,HAIER,"home appliances,air conditioners",11639_11643_11653_11782_11783," Energy Saving AC, Self Cleaning AC, Split AC 1 TonC",Haier 12 CF 1-Ton Inverter AC,Haier 12 CF 1-Ton Inverter AC,https://cdn.comverseglobal.com/alfa/products/product_images/12cf_140226171748281501.png,Color,White,,,,,HAIER-12CF-1TON-NON-INVERTER,HAIER-12CF-1TON-NON-INVERTER,65,kg,91957,96957,,100,haier 12cf 1-ton non-inverter ac,,,"beat the heat with the haier 12cf 1-ton non-inverter air conditioner. built for maximum durability and instant, high-powered cooling",,Split,,,,,,10 Year,1 Ton,,,Non-Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Haier Split AC 1.5 Ton 18CF,"The Haier 18CF is a reliable 1.5-ton fixed-speed (non-inverter) wall-mounted split air conditioner designed for powerful cooling in medium to large rooms (up to 220–250 sq. ft.). It features Turbo Cool technology for instant relief from extreme summer heat,",Electronics World,HAIER,"home appliances,air conditioners",11639_11643_11653_11782_11783,"ir Conditioner, Wall Mounted AC, Cooling AC, Haier Turbo Cool",Haier 1.5 Ton Split AC (18CF),Haier 1.5 Ton Split AC (18CF),https://www.jsbl.com/wp-content/uploads/2022/01/New-Project-96.png,Color,White,,,,,HAIER-SPLIT- AC-1.5TON-18CF,HAIER-SPLIT- AC-1.5TON-18CF,65,kg,118043,123043,,100,haier-split-ac-1.5ton-18cf,,,"A powerful, 1.5-ton non-inverter AC featuring instant turbo cooling, strong airflow, and 100% durable copper tubes—built for fast and reliable cooling in hot summers.",,Split,,,,,,10 Year,1.5 Ton,,,Non-Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Haier 24CF-2 Ton Turbo Cool Non-Inverter Air Conditioner,"The Haier 24CF is a powerful 2-Ton, wall-mounted split air conditioner designed for large rooms. As a fixed-frequency (non-inverter) unit, it focuses on rapid, high-performance cooling using Turbo Cool technology to drop room temperatures quickly during intense summer heat",Electronics World,HAIER,"home appliances,air conditioners",11639_11643_11653_11782_11783,"LargeRoomCooling,HomeAppliances,NonInverterAC",Haier 24CF 2-Ton Turbo Cool Non-Inverter Split AC,Haier 24CF 2-Ton Turbo Cool Non-Inverter Split AC,https://cdn.comverseglobal.com/alfa/products/product_images/untitled-design-64_190626192512394754.png,Color,White,,,,,HAIER-24CF-2-TON-NON-INVERTER-AC,HAIER-24CF-2-TON-NON-INVERTER-AC,65,kg,169130,174130,,100,haier-24cf-2-ton-non-inverter-ac,,,"A powerful, fast-cooling 2-Ton non-inverter split AC featuring Turbo Cool technology, 100% copper wiring, and eco-friendly R-32 refrigerant",,Split,,,,,,10 Year,1 Ton,,,Non-Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Haier AC 1 Ton DC Inverter AC 13LF,The Haier HSU-13LF Supreme is a premium 1-Ton DC Inverter split air conditioner engineered for efficient cooling. It features smart inverter technology that saves up to 67% on electricity,Electronics World,HAIER,"home appliances,air conditioners",11639_11643_11653_11782_11783,"AirConditioner,HaierSupreme ,SmartCooling ,EnergySaving",Haier 13 LF Supreme 1-Ton Inverter AC,Haier 13 LF Supreme 1-Ton Inverter AC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZocRo6eTMZZsYEfvubiLcWYA7T2OyGpoxd70dCqwT_Q&s=10,Color,White,,,,,HAIER-1TON-DC-INVERTER-AC-13LF,HAIER-1TON-DC-INVERTER-AC-13LF,65,kg,103913,108913,,100,haier-1ton-dc-inverter-ac-13lf,,,"A 1-Ton DC Inverter AC featuring one-touch self-cleaning, low-voltage startup, and up to 67% energy savings.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
